,Topic Label,topic_nr,most_freq_words,rep_doc_year,title,Volumne,Authors
14,13_god_love_world_religion,13,"['god', 'love', 'world', 'religion', 'life', 'value', 'object', 'sphere', 'weber', 'logic']",2017,"The passion of Luc Boltanski: The destiny of love, violence, and institution",52,"Friedland R., Arjaliès D.-L."
15,14_configuration_outcome_condition_qca,14,"['configuration', 'outcome', 'condition', 'qca', 'case', 'analysis', 'set', 'study', 'effect', 'variable']",2013,Applying fuzzy set methodology to evaluate substitutes for leadership,38,"Whittington J.L., McKee V., Goodwin V.L., Bell R.G."
16,15_race_racial_inequality_discrimination,15,"['race', 'racial', 'inequality', 'discrimination', 'racism', 'white', 'organization', 'employee', 'resource', 'racialized']",2019,The colorblind organization,60,"Ray V., Purifoy D."
17,16_network_structure_social_organization,16,"['network', 'structure', 'social', 'organization', 'tie', 'organizational', 'theory', 'analysis', 'data', 'capital']",2014,The two-pipe problem: Analysing and theorizing about 2-mode networks,40,"Vernet A., Kilduff M., Salter A."
18,17_mortgage_crisis_meltdown_loan,17,"['mortgage', 'crisis', 'meltdown', 'loan', 'risk', 'bank', 'financial', 'failure', 'credit', 'market']",2010,"Regulating or redesigning finance? Market architectures, normal accidents, and dilemmas of regulatory reform",30,"Schneiberg M., Bartley T."
19,18_condition_configuration_case_qca,18,"['condition', 'configuration', 'case', 'qca', 'outcome', 'set', 'analysis', 'study', 'performance', 'causal']",2013,The two QCAs: From a small-N to a large-N set theoretic approach,38,"Greckhamer T., Misangyi V.F., Fiss P.C."
20,19_paradox_tension_theory_organization,19,"['paradox', 'tension', 'theory', 'organization', 'approach', 'system', 'perspective', 'context', 'understanding', 'term']",2021,The organizational paradox of language,73b,"Keller J., Tian P."
21,20_firm_organization_market_resource,20,"['firm', 'organization', 'market', 'resource', 'business', 'service', 'commitment', 'structure', 'external', 'network']",2018,"Influence stakeholders, influence the world",56,Barnett M.L.
22,21_meaning_construction_process_study,21,"['meaning', 'construction', 'process', 'study', 'practice', 'actor', 'action', 'discursive', 'organization', 'research']",2017,Multimodal construction of a rational myth: Industrialization of the French building sector in the period from 1945 to 1970,54B,"Boxenbaum E., Daudigeos T., Pillet J.-C., Colombero S."
23,22_organization_organizational_research_social,22,"['organization', 'organizational', 'research', 'social', 'study', 'field', 'boundary', 'practice', 'institutional', 'theory']",2020,Punishment and institutions: A macrofoundations perspective,,"Crawford B., Dacin M.T."
24,23_logic_field_organization_practice,23,"['logic', 'field', 'organization', 'practice', 'level', 'institutional', 'organizational', 'change', 'market', 'different']",2019,Constructing organizations as actors: Insights from changes in research designs in the study of institutional logics,58,"Casasnovas G., Ventresca M."
25,24_change_process_actor_institution,24,"['change', 'process', 'actor', 'institution', 'practice', 'action', 'organization', 'field', 'perspective', 'environment']",2016,"Intra-professional status, maintenance failure, and the reformation of the scottish civil justice system",48B,"Ozturk I.H., Amis J.M., Greenwood R."
26,25_shareholder_corporation_company_firm,25,"['shareholder', 'corporation', 'company', 'firm', 'investor', 'ownership', 'owned', 'bank', 'fund', 'business']",2021,“What if” and “if only” futures beyond conventional capitalism and bureaucracy: Imagining collectivist and democratic possibilities for organizing,72,"Chen K.K., Chen V.T."
27,26_hospital_physician_health_patient,26,"['hospital', 'physician', 'health', 'patient', 'study', 'organization', 'service', 'management', 'denmark', 'quality']",2010,Chapter 18: The contributions of organizational theory to health care,28,Bloom J.R.
28,27_white_state_congress_black,27,"['white', 'state', 'congress', 'black', 'school', 'whig', 'democrat', 'american', 'planter', 'union']",2019,The unbroken south: Political parties and the articulation of white supremacy,60,de Leon C.
29,28_firm_organization_industry_study,28,"['firm', 'organization', 'industry', 'study', 'startup', 'actor', 'strategy', 'resource', 'product', 'external']",2017,What the shared industry and country of origin bring: Analogous sequences in the internationalization of finnish paper MNCs,49,Laurila J.
30,29_article_idea_research_study,29,"['article', 'idea', 'research', 'study', 'journal', 'paper', 'review', 'approach', 'evaluation', 'citation']",2019,Peer review and the production of scholarly knowledge: Automated textual analysis of manuscripts revised for publication in administrative science quarterly,59,"Strang D., Dokshin F."
31,30_world_life_work_tension,30,"['world', 'life', 'work', 'tension', 'evil', 'human', 'view', 'theory', 'self', 'god']",2000,Selznick's hobbesian idealism: Its nature and its origins,44,Krygier M.
32,31_corporation_state_business_market,31,"['corporation', 'state', 'business', 'market', 'shareholder', 'government', 'society', 'interest', 'policy', 'economy']",2022,Shareholder value or public purpose? from john maynard keynes and adolf berle to the modern debate,78,"Konzelmann S.J., Chick V., Fovargue-Davies M."
33,32_organization_hybrid_logic_hybridity,32,"['organization', 'hybrid', 'logic', 'hybridity', 'organizational', 'level', 'time', 'study', 'portfolio', 'process']",2020,REASONING WITH HEURISTICS: A NEW APPROACH TO CATEGORIES THEORY AND THE EVALUATION OF HYBRIDS,69,"Wry T., Durand R."
34,33_church_organization_religion_god,33,"['church', 'organization', 'religion', 'god', 'belief', 'religious', 'pastor', 'christian', 'congregation', 'practice']",2014,Pastor practices in the era of megachurches: New organizational practices and forms for a changing institutional environment,41,"Washington M., Van Buren III H.J., Patterson K."
35,34_action_practice_life_understanding,34,"['action', 'practice', 'life', 'understanding', 'theory', 'world', 'meaning', 'philosophy', 'knowledge', 'science']",2011,Analytic philosophy and organization theory: Philosophical problems and scientific solutions,32,"Lakomski G., Evers C.W."
36,35_acceleration_organisation_time_routine,35,"['acceleration', 'organisation', 'time', 'routine', 'tension', 'accelerator', 'temporary', 'permanent', 'initiative', 'temporal']",2019,Making new strategic moves possible: How executive management enacts strategizing routines to strengthen entrepreneurial agility,61,"Grand S., Bartl D."
37,36_paradox_theory_domination_punishment,36,"['paradox', 'theory', 'domination', 'punishment', 'grammar', 'organisation', 'approach', 'contradiction', 'temporary', 'organizational']",2021,Logic(S) and paradox,73b,Berti M.
38,37_actor_process_project_network,37,"['actor', 'process', 'project', 'network', 'tension', 'level', 'organization', 'practice', 'interaction', 'individual']",2019,Social media and the infrastructuring of sociality,62,"Alaimo C., Kallinikos J."
39,38_category_market_product_firm,38,"['category', 'market', 'product', 'firm', 'producer', 'industry', 'consumer', 'process', 'identity', 'innovation']",2010,"From Categorical Imperative to Learning by Categories: Cost Accounting and New Categorical Practices in American Manufacturing, 1900-1930",31,"Schneiberg M., Berk G."
40,39_organization_process_case_actor,39,"['organization', 'process', 'case', 'actor', 'professional', 'decision', 'practice', 'network', 'work', 'individual']",2001,Who guards the guardians? Protecting a lateral control regime from its own oligarchs,18,Lazega E.
41,40_institutional_perspective_argument_institution,40,"['institutional', 'perspective', 'argument', 'institution', 'meaning', 'merger', 'backing', 'actor', 'practice', 'legitimation']",2019,ARGUMENTS AND INSTITUTIONS,65B,Harmon D.J.
42,41_company_organization_time_member,41,"['company', 'organization', 'time', 'member', 'decision', 'strategy', 'business', 'firm', 'board', 'market']",2002,7. Coming from good stock: Career histories and new venture formation,19,"Burton M.D., Sørensen J.B., Beckman C.M."
43,42_association_accountant_organization_external,42,"['association', 'accountant', 'organization', 'external', 'community', 'niva', 'company', 'issue', 'firm', 'resource']",2010,"Organizational form emergence and competing professional schemata of Dutch accounting, 1884-1939",31,"Bogaert S., Boone C., Carroll G.R."
44,43_winery_wine_title_producer,43,"['winery', 'wine', 'title', 'producer', 'farm', 'winemaking', 'function', 'form', 'industry', 'mass']",2019,Machina ex deus? From distributed to orchestrated agency,58,Semper D.
45,44_organization_service_political_change,44,"['organization', 'service', 'political', 'change', 'governance', 'public', 'institutional', 'form', 'group', 'provision']",2019,OUTSOURCING PUBLIC SERVICES: A MULTILEVEL MODEL OF LEADERSHIP-DRIVEN GRADUAL INSTITUTIONAL CHANGE OF PUBLIC SERVICES PROVISION,65B,Ruotsalainen R.
46,45_process_meaning_actor_individual,45,"['process', 'meaning', 'actor', 'individual', 'practice', 'context', 'action', 'identity', 'self', 'work']",2018,Boundaries of visibility in the age of transparency: An integrative conceptualization,57,Ringel L.
47,46_market_state_economy_bank,46,"['market', 'state', 'economy', 'bank', 'crisis', 'investment', 'tax', 'government', 'rate', 'capital']",2010,The political economy of financial exuberance,30,Krippner G.R.
48,47_challenge_actor_temporality_institution,47,"['challenge', 'actor', 'temporality', 'institution', 'future', 'narrative', 'context', 'macro', 'present', 'organization']",2022,COMMITMENT TO GRAND CHALLENGES IN FLUID FORMS OF ORGANIZING: THE ROLE OF NARRATIVES’ TEMPORALITY,79,"Stjerne I.S., Wenzel M., Svejenova S."
49,48_transition_partner_alliance_gcomp,48,"['transition', 'partner', 'alliance', 'gcomp', 'level', 'stage', 'acquisition', 'post transition', 'optic', 'pre transition']",2019,Phased acquisitions for disruptive innovation: Toward a micro-level governance perspective,64,"Faems D., Madhok A."
50,49_identity_principal_agency_work,49,"['identity', 'principal', 'agency', 'work', 'role', 'institutional', 'study', 'identity understanding', 'school', 'institution']",2019,The claim for actorhood in institutional work,58,"Migdal-Picker M., Zilber T.B."
