,Topic Label,topic_nr,most_freq_words,rep_doc_year,title,Volumne,Authors
11,10_forest_tree_deforestation_land,10,"['forest', 'tree', 'deforestation', 'land', 'area', 'landscape', 'biodiversity', 'agroforestry', 'forestry', 'underuse']",2012,Governance for sustainability: Knowledge integration and multi-actor dimensions in risk management,7.0,"Shiroyama H., Yarime M., Matsuo M., Schroeder H., Scholz R., Ulrich A.E."
12,11_africa_african_challenge_country,11,"['africa', 'african', 'challenge', 'country', 'project', 'sustainability', 'uganda', 'approach', 'barometer', 'study']",2011,Environmental impact assessment application in infrastructural projects in Malawi,6.0,Kosamu I.B.M.
13,12_complexity_problem_process_approach,12,"['complexity', 'problem', 'process', 'approach', 'research', 'system', 'sustainability', 'practice', 'science', 'framework']",2014,Developing integrative research for sustainability science through a complexity principles-based approach,9.0,van Kerkhoff L.
14,13_scale_system_ecological_social,13,"['scale', 'system', 'ecological', 'social', 'landscape', 'change', 'human', 'ecosystem', 'land', 'nature']",2021,Alternative futures for global biological invasions,16.0,"Roura-Pascual N., Leung B., Rabitsch W., Rutting L., Vervoort J., Bacher S., Dullinger S., Erb K.-H., Jeschke J.M., Katsanevakis S., Kühn I., Lenzner B., Liebhold A.M., Obersteiner M., Pauchard A., Peterson G.D., Roy H.E., Seebens H., Winter M., Burgman M.A., Genovesi P., Hulme P.E., Keller R.P., Latombe G., McGeoch M.A., Ruiz G.M., Scalera R., Springborn M.R., von Holle B., Essl F."
15,14_shoreline_island_delta_coast,14,"['shoreline', 'island', 'delta', 'coast', 'area', 'rise', 'level', 'beach', 'change', 'sediment']",2016,Assessing relative vulnerability to sea-level rise in the western part of the Mekong River Delta in Vietnam,11.0,"Nguyen T.T.X., Woodroffe C.D."
16,15_alternative_world_practice_movement,15,"['alternative', 'world', 'practice', 'movement', 'change', 'life', 'society', 'transformation', 'community', 'economy']",2019,The politics of making and unmaking (sustainable) futures: introduction to the special feature,14.0,"Knappe H., Holfelder A.-K., Löw Beer D., Nanz P."
17,16_disaster_change_community_system,16,"['disaster', 'change', 'community', 'system', 'region', 'place', 'level', 'resource', 'climate', 'term']",2010,Climate change vulnerability and adaptation assessments,5.0,"Renaud F., Perez R."
18,17_island_atoll_area_coast,17,"['island', 'atoll', 'area', 'coast', 'bangantebure', 'eita', 'eita bangantebure', 'lagoon', 'coastal', 'bairiki']",2020,"Taking control of human-induced destabilisation of atoll islands: lessons learnt from the Tuamotu Archipelago, French Polynesia",15.0,"Duvat V.K.E., Stahl L., Costa S., Maquaire O., Magnan A.K."
19,18_system_change_concept_approach,18,"['system', 'change', 'concept', 'approach', 'process', 'scale', 'case', 'level', 'policy', 'development']",2022,Identifying leverage points for shifting Water-Energy-Food nexus cases towards sustainability through the Networks of Action Situations approach combined with systems thinking,,Kellner E.
20,19_china_city_pollution_province,19,"['china', 'city', 'pollution', 'province', 'industry', 'government', 'instrument', 'investment', 'emission', 'energy']",2022,Central–local governance gaps: the evolving differentiation of climate policies in China,17.0,"Zhou B., Wang Q., Zhang C."
21,20_farmer_landscape_community_system,20,"['farmer', 'landscape', 'community', 'system', 'farm', 'social', 'tree', 'practice', 'agriculture', 'land']",2016,Indigenous Siberians solve collective action problems through sharing and traditional knowledge,11.0,"Ziker J.P., Rasmussen J., Nolin D.A."
22,21_emission_scenario_cost_carbon,21,"['emission', 'scenario', 'cost', 'carbon', 'reduction', 'model', 'sector', 'price', 'energy', 'japan']",2022,Impacts of strategic behavior in regional coalitions under the sectoral expansion of the carbon market in China,,"Wu J., Xia Y., Voigt S."
23,22_sheet_ice_temperature_change,22,"['sheet', 'ice', 'temperature', 'change', 'storm', 'scenario', 'increase', 'year', 'model', 'cyclone']",2018,Towards the incorporation of tipping elements in global climate risk management: Probability and potential impacts of passing a threshold,13.0,"Iseri Y., Yoshikawa S., Kiguchi M., Tawatari R., Kanae S., Oki T."
24,23_sustainability_student_university_course,23,"['sustainability', 'student', 'university', 'course', 'science', 'program', 'curriculum', 'academic', 'competency', 'education']",2021,University teaching staff and sustainable development: an assessment of competences,16.0,"Leal Filho W., Levesque V.R., Salvia A.L., Paço A., Fritzen B., Frankenberger F., Damke L.I., Brandli L.L., Ávila L.V., Mifsud M., Will M., Pace P., Azeiteiro U.M., Lovren V.O."
25,24_society_process_social_sustainability,24,"['society', 'process', 'social', 'sustainability', 'system', 'market', 'human', 'organization', 'action', 'value']",2007,"More aid, better institutions, or both?",2.0,Auer M.R.
26,25_consumer_reuse_good_period,25,"['consumer', 'reuse', 'good', 'period', 'market', 'recycling', 'product', 'waste', 'second hand', 'cost']",2010,An economic theory of reuse,5.0,Yokoo H.-F.
27,26_disaster_risk_hazard_change,26,"['disaster', 'risk', 'hazard', 'change', 'opportunity', 'earthquake', 'event', 'vulnerability', 'community', 'climate']",2018,"Disasters as opportunities for sustainability: the case of Christchurch, Aotearoa New Zealand",13.0,Brundiers K.
28,27_practice_transformation_sustainability_world,27,"['practice', 'transformation', 'sustainability', 'world', 'change', 'process', 'human', 'self', 'system', 'experience']",2019,Gesturing towards radical futurity in education for alternative futures,,Amsler S.
29,28_year_region_water_crop,28,"['year', 'region', 'water', 'crop', 'area', 'country', 'land', 'forest', 'food', 'high']",2021,Considering equity in wildfire protection,16.0,Auer M.R.
30,29_farmer_system_farming_change,29,"['farmer', 'system', 'farming', 'change', 'production', 'group', 'policy', 'level', 'farm', 'economic']",2018,The diffusion of sustainable family farming practices in Colombia: an emerging sociotechnical niche?,13.0,"Ortiz W., Vilsmaier U., Acevedo Osorio Á."
31,30_hazard_system_vulnerability_delta,30,"['hazard', 'system', 'vulnerability', 'delta', 'area', 'change', 'climate', 'risk', 'assessment', 'water']",2012,Conserving the land: The resilience of riparian wetlands and river channels by a fuzzy inference system,7.0,"Mah D.Y.S., Bustami R.A."
32,31_group_owner_community_indigenous,31,"['group', 'owner', 'community', 'indigenous', 'management', 'workshop', 'australian', 'project', 'knowledge', 'organisation']",2022,Learning Together for and with the Martuwarra Fitzroy River,17.0,"Hill R., Harkness P., Raisbeck-Brown N., Lyons I., Álvarez-Romero J.G., Kim M.K., Chungalla D., Wungundin H., Aiken M., Malay J., Williams B., Buissereth R., Cranbell T., Forrest J., Hand M., James R., Jingle E., Knight O., Lennard N., Lennard V., Malay I., Malay L., Midmee W., Morton S., Nulgit C., Riley P., Shadforth I., Bieundurry J., Brooking G., Brooking S., Brumby W., Bulmer V., Cherel V., Clifton A., Cox S., Dawson M., Gore-Birch C., Hill J., Hobbs A., Hobbs D., Juboy C., Juboy P., Kogolo A., Laborde S., Lennard B., Lennard C., Lennard D., Malay N., Malay Z., Marshall D., Marshall H., Millindee L., Mowaljarlai D., Myers A., Nnarda T., Nuggett J., Nulgit L., Nulgit P., Poelina A., Poudrill D., Ross J., Shandley J., Skander R., Skeen S., Smith G., Street M., Thomas P., Wongawol B., Yungabun H., Sunfly A., Cook C., Shaw K., Collard T., Collard Y."
33,32_fishery_fisher_bay_community,32,"['fishery', 'fisher', 'bay', 'community', 'co management', 'tela', 'management', 'fishing', 'fisherman', 'group']",2021,Transitioning to co-management in Caribbean reef fisheries: Tela Bay case study,16.0,"Rivera A., San Martin-Chicas J., Myton J."
34,33_data_model_japan_china,33,"['data', 'model', 'japan', 'china', 'province', 'capital', 'scenario', 'country', 'gdp', 'year']",2015,Economic growth does not reduce the ecological intensity of human well-being,10.0,"Jorgenson A.K., Dietz T."
35,34_farmer_farm_household_crop,34,"['farmer', 'farm', 'household', 'crop', 'food', 'study', 'region', 'woman', 'income', 'farming']",2017,Constraints to the adoption of fodder tree technology in Malawi,12.0,"Toth G.G., Nair P.K.R., Duffy C.P., Franzel S.C."
36,35_capitalist_practice_state_alternative,35,"['capitalist', 'practice', 'state', 'alternative', 'world', 'development', 'colonial', 'struggle', 'modernity', 'pluriverse']",2022,Jin-jiyan-azadi. Matristic culture and Democratic Confederalism in Rojava,17.0,"Piccardi E.G., Barca S."
37,36_emission_reduction_carbon_target,36,"['emission', 'reduction', 'carbon', 'target', 'scenario', 'ghg', 'mitigation', 'energy', 'japan', 'country']",2018,How do climate-related uncertainties influence 2 and 1.5 °c pathways?,13.0,"Su X., Shiogama H., Tanaka K., Fujimori S., Hasegawa T., Hijioka Y., Takahashi K., Liu J."
38,37_forest_fe_management_land,37,"['forest', 'fe', 'management', 'land', 'policy', 'landscape', 'forestry', 'community', 'local', 'disturbance']",2013,Sustainable forest management in Iran: A factor analysis,8.0,"Azadi H., Samari D., Zarafshani K., Hosseininia G., Witlox F."
39,38_sustainability_conception_project_development,38,"['sustainability', 'conception', 'project', 'development', 'science', 'adequacy', 'research', 'sustainable', 'challenge', 'checking']",2014,Towards adequately framing sustainability goals in research projects: The case of land use studies,9.0,Wuelser G.
40,39_forest_land_area_landscape,39,"['forest', 'land', 'area', 'landscape', 'system', 'region', 'deforestation', 'agriculture', 'state', 'agroforestry']",2011,Potential synergies of the main current forestry efforts and climate change mitigation in Central Africa,6.0,"Sonwa D.J., Walker S., Nasi R., Kanninen M."
41,40_japan_technology_energy_model,40,"['japan', 'technology', 'energy', 'model', 'demand', 'electricity', 'emission', 'fuel', 'sector', 'scenario']",2009,Sustainability of silicon feedstock for a low-carbon society,4.0,"Takiguchi H., Morita K."
42,41_interview_snowball_sampling_interviewee,41,"['interview', 'snowball', 'sampling', 'interviewee', 'participant', 'group', 'structured', 'study', 'semi structured', 'conducted']",2015,An ecosystem service approach to understand conflicts on river flows: local views on the Ter River (Catalonia),10.0,"Jorda-Capdevila D., Rodríguez-Labajos B."
43,42_actor_decision_process_value,42,"['actor', 'decision', 'process', 'value', 'policy', 'sustainability', 'governance', 'normative', 'making', 'issue']",2019,A new normative economics for the formation of shared social values,14.0,Ravenscroft N.
44,43_justice_modernity_coloniality_transformation,43,"['justice', 'modernity', 'coloniality', 'transformation', 'world', 'social', 'capitalist', 'sustainability', 'concept', 'conflict']",2021,A co-designed heuristic guide for investigating the peace-sustainability nexus in the context of global change,16.0,"Simangan D., Virji H., Hendrix C., Islam M., Kaneko S., Ma Y.-S., Mechler R., Pangotra P., Peters K., Sharifi A., Shams S.H."
45,44_pollution_water_resource_risk,44,"['pollution', 'water', 'resource', 'risk', 'technology', 'waste', 'social', 'plant', 'company', 'problem']",2017,Myths of the City,12.0,"Boschetti F., Gaffier C., Price J., Moglia M., Walker I."
46,45_transformation_action_sustainability_individual,45,"['transformation', 'action', 'sustainability', 'individual', 'society', 'change', 'social', 'human', 'system', 'idea']",2011,Visioneering: An essential framework in sustainability science,6.0,"Kim J., Oki T."
47,46_city_development_system_resource,46,"['city', 'development', 'system', 'resource', 'sustainable', 'sustainability', 'country', 'goal', 'approach', 'study']",2022,Ecological performance standards for regenerative urban design,,"Benyus J., Dwyer J., El-Sayed S., Hayes S., Baumeister D., Penick C.A."
48,47_vision_technology_system_transition,47,"['vision', 'technology', 'system', 'transition', 'scenario', 'governance', 'geoengineering', 'future', 'sustainability', 'approach']",2018,How geoengineering scenarios frame assumptions and create expectations,13.0,"Talberg A., Thomas S., Christoff P., Karoly D."
49,48_conflict_violence_activist_environmental,48,"['conflict', 'violence', 'activist', 'environmental', 'movement', 'ejatlas', 'justice', 'form', 'mobilization', 'repression']",2018,Violence in environmental conflicts: the need for a multidimensional approach,13.0,"Navas G., Mingorria S., Aguilar-González B."
50,49_energy_emission_scenario_wind,49,"['energy', 'emission', 'scenario', 'wind', 'fuel', 'solar', 'electricity', 'sector', 'generation', 'power']",2012,Technological feasibility and costs of achieving a 50 % reduction of global GHG emissions by 2050: Mid- and long-term perspectives,7.0,"Akashi O., Hanaoka T."
51,50_change_climate_vulnerability_risk,50,"['change', 'climate', 'vulnerability', 'risk', 'hazard', 'adaptation', 'impact', 'exposure', 'framework', 'assessment']",2007,"Adaptation planning for climate change: Concepts, assessment approaches, and key lessons",2.0,Füssel H.-M.
52,51_resilience_social_change_community,51,"['resilience', 'social', 'change', 'community', 'system', 'ecological', 'management', 'capital', 'adaptation', 'capacity']",2016,Application of a tri-capital community resilience framework for assessing the social–ecological system sustainability of community-based forest management in the Philippines,11.0,"Jarzebski M.P., Tumilba V., Yamamoto H."
53,52_value_science_perspective_approach,52,"['value', 'science', 'perspective', 'approach', 'sustainability', 'human', 'making', 'ecological', 'system', 'social']",2022,Transformative change in context—stakeholders’ understandings of leverage at the forest–climate nexus,17.0,"Priebe J., Reimerson E., Hallberg-Sramek I., Sténs A., Sandström C., Mårald E."
54,53_crop_food_country_area,53,"['crop', 'food', 'country', 'area', 'production', 'land', 'fruit', 'consumption', 'product', 'region']",2022,Exploring complementarity among interdependent pastoral institutions in Mongolia,,"Kasymov U., Ring I."
55,54_china_tianjin_city_beijing,54,"['china', 'tianjin', 'city', 'beijing', 'metropolis', 'region', 'resource', 'industry', 'urban', 'growth']",2015,Where is the future for a growing metropolis in North China under water resource constraints?,10.0,"Zhou D., Zhang Z., Shi M."
56,55_christian_faith_world_religion,55,"['christian', 'faith', 'world', 'religion', 'tradition', 'behaviour', 'value', 'religious', 'god', 'belief']",2019,Religion and social values for sustainability,14.0,"Ives C.D., Kidwell J."
57,56_nature_gender_erbi_participant,56,"['nature', 'gender', 'erbi', 'participant', 'srbi', 'bonding', 'connectedness', 'mpse', 'sport', 'connection']",2021,"Mass-participant sport events and sustainable development: gender, social bonding, and connectedness to nature as predictors of socially and environmentally responsible behavior intentions",16.0,"Triantafyllidis S., Darvin L."
58,57_model_fit_variable_loading,57,"['model', 'fit', 'variable', 'loading', 'test', 'analysis', 'variance', 'item', 'factor', 'construct']",2022,Measuring relational values: do people in Greater Tokyo appreciate place-based nature and general nature differently?,17.0,"Saito T., Hashimoto S., Basu M."
59,58_nature_value_concept_relationship,58,"['nature', 'value', 'concept', 'relationship', 'human', 'literature', 'social', 'instrumental', 'frame', 'perspective']",2022,The Life Framework of Values and living as nature; towards a full recognition of holistic and relational ontologies,,"Kenter J.O., O’Connor S."
60,59_conflict_case_dam_violence,59,"['conflict', 'case', 'dam', 'violence', 'project', 'impact', 'country', 'indigenous', 'community', 'group']",2021,In search of the good dam: contemporary views on dam planning in Latin America,16.0,"Schulz C., Adams W.M."
61,60_consumer_food_producer_choice,60,"['consumer', 'food', 'producer', 'choice', 'vegetable', 'production', 'market', 'system', 'agroforestry', 'consumption']",2018,Fostering biocultural diversity in landscapes through place-based food networks: a “solution scan” of European and Japanese models,13.0,"Plieninger T., Kohsaka R., Bieling C., Hashimoto S., Kamiyama C., Kizos T., Penker M., Kieninger P., Shaw B.J., Sioen G.B., Yoshida Y., Saito O."
62,61_japan_capital_prefecture_iwi,61,"['japan', 'capital', 'prefecture', 'iwi', 'scenario', 'sado', 'ssps', 'wealth', 'population', 'level']",2018,"Assessing local-scale inclusive wealth: a case study of Sado Island, Japan",13.0,"Yoshida Y., Matsuda H., Fukushi K., Ikeda S., Managi S., Takeuchi K."
63,62_discourse_movement_political_growth,62,"['discourse', 'movement', 'political', 'growth', 'capitalism', 'social', 'society', 'life', 'economic', 'degrowth']",2021,Has sustainability science turned left?,16.0,Bodin Ö.
64,63_transformation_process_practice_change,63,"['transformation', 'process', 'practice', 'change', 'place', 'action', 'approach', 'perspective', 'reflection', 'sustainability']",2022,"Storying COVID-19: fear, digitalisation, and the transformational potential of storytelling",17.0,Essebo M.
65,64_country_economy_market_profit,64,"['country', 'economy', 'market', 'profit', 'society', 'technology', 'resource', 'world', 'city', 'energy']",2009,"""Sustainable development in the context of climate change"": A new approach for institutions of higher learning",4.0,Irandoust S.
66,65_water_development_change_water related,65,"['water', 'development', 'change', 'water related', 'system', 'target', 'stakeholder', 'management', 'approach', 'resource']",2014,Initial design process of the sustainability science ontology for knowledge-sharing to support co-deliberation,9.0,"Kumazawa T., Kozaki K., Matsui T., Saito O., Ohta M., Hara K., Uwasu M., Kimura M., Mizoguchi R."
